Company	Date	Plant	Storage Location	Material	Profit Center	Moving Type	DCFlag	Quantity	Base UOM	Amount	Currency
C520	2018	12	C521	C521	106K0073	5200000110	1	PC	0	USD	KI
C520	2018	12	C521	C521	106K0097	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	106K00N7	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	106L0097	5200000110	2	PC	0	USD	KI
C520	2018	12	C521	C521	106M0097	5200000110	2	PC	0	USD	KI
C520	2018	12	C521	C521	107F0086	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	107F0097	5200000110	10	PC	0	USD	KI
C520	2018	12	C521	C521	107K00F3	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	107L00N7	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10ATXBDCB	5200000110	6	PC	0	USD	KI
C520	2018	12	C521	C521	10ATXG00	5200000110	2	PC	0	USD	KI
C520	2018	12	C521	C521	10ATXH00	5200000110	2	PC	0	USD	KI
C520	2018	12	C521	C521	10C900	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10CE00	5200000110	33	PC	0	USD	KI
C520	2018	12	C521	C521	10CF00	5200000110	61	PC	0	USD	KI
C520	2018	12	C521	C521	10CH00	5200000110	223	PC	0	USD	KI
C520	2018	12	C521	C521	10CJ00	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10CK00	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10CL00	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10CM0070	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10CM0071	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10CM0135	5200000110	20	PC	0	USD	KI
C520	2018	12	C521	C521	10CM0170	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10CM0171	5200000110	91	PC	0	USD	KI
C520	2018	12	C521	C521	10CM0185	5200000110	35	PC	0	USD	KI
C520	2018	12	C521	C521	10CM0197	5200000110	52	PC	0	USD	KI
C520	2018	12	C521	C521	10CM01E9	5200000110	18	PC	0	USD	KI
C520	2018	12	C521	C521	10CM01F3	5200000110	2	PC	0	USD	KI
C520	2018	12	C521	C521	10CM01J1	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10CM01L4	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10CM01R1	5200000110	11	PC	0	USD	KI
C520	2018	12	C521	C521	10CM01R5	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10CN0070	5200000110	3	PC	0	USD	KI
C520	2018	12	C521	C521	10CN0071	5200000110	1	PC	0	USD	KI
C520	2018	12	C521	C521	10CN0135	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10CN0171	5200000110	17	PC	0	USD	KI
C520	2018	12	C521	C521	10CN0197	5200000110	5	PC	0	USD	KI
C520	2018	12	C521	C521	10CN01E9	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10CN01F3	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10CN01L4	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10CN01R1	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10CN01V5	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10CP00J1	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10CR0071	5200000110	1	PC	0	USD	KI
C520	2018	12	C521	C521	10CR0135	5200000110	13	PC	0	USD	KI
C520	2018	12	C521	C521	10CR0171	5200000110	8	PC	0	USD	KI
C520	2018	12	C521	C521	10CR0197	5200000110	3	PC	0	USD	KI
C520	2018	12	C521	C521	10CR01L4	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10CR01R1	5200000110	3	PC	0	USD	KI
C520	2018	12	C521	C521	10CR01R5	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10CR01V4	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10CR01V5	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10CV0071	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10CV0135	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10CV0170	5200000110	4	PC	0	USD	KI
C520	2018	12	C521	C521	10CV0171	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10CV0185	5200000110	13	PC	0	USD	KI
C520	2018	12	C521	C521	10CV0197	5200000110	1	PC	0	USD	KI
C520	2018	12	C521	C521	10CV01E9	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10CV01F3	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10CV01L4	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10CV01R1	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10CV01R5	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10CV01V5	5200000110	4	PC	0	USD	KI
C520	2018	12	C521	C521	10CW0071	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10CW0170	5200000110	5	PC	0	USD	KI
C520	2018	12	C521	C521	10CW0171	5200000110	2	PC	0	USD	KI
C520	2018	12	C521	C521	10CW0197	5200000110	4	PC	0	USD	KI
C520	2018	12	C521	C521	10CW01E9	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10CW01F3	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10CW01L4	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10CW01R1	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10CW01R5	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10CW01V4	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10CW01V5	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10CY0071	5200000110	7	PC	0	USD	KI
C520	2018	12	C521	C521	10CY0135	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10CY0171	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10CY0197	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10CY01E9	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10CY01F3	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10CY01L4	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10CY01R1	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10CY01R5	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10CY01V4	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10FT00	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10FX0097	5200000110	8	PC	0	USD	KI
C520	2018	12	C521	C521	10FX00N6	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10FX00N7	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10FX00R1	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10FX00V5	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10HT0071	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10HT0097	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10HX0070	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10HX0097	5200000110	22	PC	0	USD	KI
C520	2018	12	C521	C521	10HX00F3	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10HX00R1	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10J60170	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10J60171	5200000110	1	PC	0	USD	KI
C520	2018	12	C521	C521	10J60185	5200000110	2	PC	0	USD	KI
C520	2018	12	C521	C521	10J60197	5200000110	3	PC	0	USD	KI
C520	2018	12	C521	C521	10J601F3	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10J601L4	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10J601R1	5200000110	5	PC	0	USD	KI
C520	2018	12	C521	C521	10J601R5	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10J70170	5200000110	2	PC	0	USD	KI
C520	2018	12	C521	C521	10J70171	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10J70197	5200000110	9	PC	0	USD	KI
C520	2018	12	C521	C521	10J701F3	5200000110	8	PC	0	USD	KI
C520	2018	12	C521	C521	10J701L4	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10J701R1	5200000110	1	PC	0	USD	KI
C520	2018	12	C521	C521	10J80170	5200000110	1	PC	0	USD	KI
C520	2018	12	C521	C521	10J80171	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10J80197	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10J801L4	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10J801R1	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10J801R5	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10J801V5	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10J900	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10JC00	5200000110	7	PC	0	USD	KI
C520	2018	12	C521	C521	10JF00	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10JH00	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10JK00	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10JM00	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10JN00	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10JR0072	5200000110	2	PC	0	USD	KI
C520	2018	12	C521	C521	10JR0097	5200000110	4	PC	0	USD	KI
C520	2018	12	C521	C521	10JR00J1	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10JR00N7	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10JR00R1	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10JR00V5	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10JV0072	5200000110	3	PC	0	USD	KI
C520	2018	12	C521	C521	10JV0097	5200000110	8	PC	0	USD	KI
C520	2018	12	C521	C521	10JV00J1	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10JV00L5	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10JV00N7	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10JV00R1	5200000110	1	PC	0	USD	KI
C520	2018	12	C521	C521	10JV00V5	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10JY0197	5200000110	1	PC	0	USD	KI
C520	2018	12	C521	C521	10JY01E9	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10JY01F3	5200000110	3	PC	0	USD	KI
C520	2018	12	C521	C521	10JY01R1	5200000110	1	PC	0	USD	KI
C520	2018	12	C521	C521	10KT00	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10KX0072	5200000110	5	PC	0	USD	KI
C520	2018	12	C521	C521	10KX0086	5200000110	1	PC	0	USD	KI
C520	2018	12	C521	C521	10KX0097	5200000110	135	PC	0	USD	KI
C520	2018	12	C521	C521	10KX00N6	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10KX00N7	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10KX00R1	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10KX00V5	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10RE0071	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10RE0170	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10RE0171	5200000110	1	PC	0	USD	KI
C520	2018	12	C521	C521	10RE0197	5200000110	7	PC	0	USD	KI
C520	2018	12	C521	C521	10RE01E9	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10RE01F3	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10RE01R1	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10RE01R5	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10RW0071	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10RW0170	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10RW0171	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10RW0197	5200000110	6	PC	0	USD	KI
C520	2018	12	C521	C521	10RW01E9	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10RW01F3	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10RW01L4	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10RW01R1	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10RX0071	5200000110	2	PC	0	USD	KI
C520	2018	12	C521	C521	10RX0171	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10RX0197	5200000110	10	PC	0	USD	KI
C520	2018	12	C521	C521	10RX01E9	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10RX01L4	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10RX01R1	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10RX01R5	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10T90071	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10T90170	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10T90171	5200000110	5	PC	0	USD	KI
C520	2018	12	C521	C521	10T90197	5200000110	12	PC	0	USD	KI
C520	2018	12	C521	C521	10T901E9	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10T901F3	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10T901L4	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10T901R1	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10T901R5	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10V000	5200000110	25	PC	0	USD	KI
C520	2018	12	C521	C521	10V100	5200000110	72	PC	0	USD	KI
C520	2018	12	C521	C521	10V20170	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10V20171	5200000110	2	PC	0	USD	KI
C520	2018	12	C521	C521	10V20197	5200000110	11	PC	0	USD	KI
C520	2018	12	C521	C521	10V201F3	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10V201L4	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10V201R1	5200000110	4	PC	0	USD	KI
C520	2018	12	C521	C521	10V201R5	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10V30170	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10V30171	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10V30197	5200000110	16	PC	0	USD	KI
C520	2018	12	C521	C521	10V301E9	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10V301F3	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10V301L4	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10V301R1	5200000110	10	PC	0	USD	KI
C520	2018	12	C521	C521	10V40170	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10V40171	5200000110	1	PC	0	USD	KI
C520	2018	12	C521	C521	10V40197	5200000110	6	PC	0	USD	KI
C520	2018	12	C521	C521	10V401F3	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10V401L4	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10V401R1	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10V401R5	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10V60071	5200000110	8	PC	0	USD	KI
C520	2018	12	C521	C521	10V600E9	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10V600F3	5200000110	10	PC	0	USD	KI
C520	2018	12	C521	C521	10V70097	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10V700F3	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10V700R1	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10VH0071	5200000110	6	PC	0	USD	KI
C520	2018	12	C521	C521	10VH0170	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10VH0171	5200000110	77	PC	0	USD	KI
C520	2018	12	C521	C521	10VH0197	5200000110	166	PC	0	USD	KI
C520	2018	12	C521	C521	10VH01E9	5200000110	70	PC	0	USD	KI
C520	2018	12	C521	C521	10VH01F3	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10VH01L4	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10VH01R1	5200000110	75	PC	0	USD	KI
C520	2018	12	C521	C521	10VH01R5	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10VH01V4	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10VJ0171	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10VJ0197	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10VK0171	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10VK0197	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10VL00	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10VM0171	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10VM0197	5200000110	2	PC	0	USD	KI
C520	2018	12	C521	C521	10VM01E9	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10VM01R1	5200000110	20	PC	0	USD	KI
C520	2018	12	C521	C521	10VN0071	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10VN0171	5200000110	13	PC	0	USD	KI
C520	2018	12	C521	C521	10VN0197	5200000110	50	PC	0	USD	KI
C520	2018	12	C521	C521	10VN01R5	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10VR0171	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10VV0135	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10VV0185	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10VV0197	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10VV0197PT	5200000110	1	PC	0	USD	KI
C520	2018	12	C521	C521	10VW0197	5200000110	89	PC	0	USD	KI
C520	2018	12	C521	C521	10VY0197	5200000110	8	PC	0	USD	KI
C520	2018	12	C521	C521	10WT0071	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10WT0170	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10WT0171	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10WT0197	5200000110	10	PC	0	USD	KI
C520	2018	12	C521	C521	10WT01E9	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10WT01F3	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10WT01L4	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10WT01R1	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10WX0071	5200000110	1	PC	0	USD	KI
C520	2018	12	C521	C521	10WX0171	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10WX0197	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10WX01F3	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10WX01L4	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	10WX01R1	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	14-000001B	5200000110	4	PC	0	USD	KI
C520	2018	12	C521	C521	14-000003A	5200000110	6	PC	0	USD	KI
C520	2018	12	C521	C521	14-230689	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	14-230695	5200000110	10	PC	0	USD	KI
C520	2018	12	C521	C521	14-230697	5200000110	2	PC	0	USD	KI
C520	2018	12	C521	C521	14-230698	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	14-230699	5200000110	4	PC	0	USD	KI
C520	2018	12	C521	C521	14-230713	5200000110	10	PC	0	USD	KI
C520	2018	12	C521	C521	14-230720	5200000110	201	PC	0	USD	KI
C520	2018	12	C521	C521	14-230727	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	14-230728	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	14-233376	5200000110	2	PC	0	USD	KI
C520	2018	12	C521	C521	14-233397	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	14-233399D	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	14-233400B	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	14-233400C	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	14-233400I	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	14-233408	5200000110	21	PC	0	USD	KI
C520	2018	12	C521	C521	14-233422	5200000110	30	PC	0	USD	KI
C520	2018	12	C521	C521	14-233423A	5200000110	5	PC	0	USD	KI
C520	2018	12	C521	C521	14-233423B	5200000110	5	PC	0	USD	KI
C520	2018	12	C521	C521	14-233424A	5200000110	11	PC	0	USD	KI
C520	2018	12	C521	C521	14-233424b	5200000110	14	PC	0	USD	KI
C520	2018	12	C521	C521	14-233424C	5200000110	11	PC	0	USD	KI
C520	2018	12	C521	C521	14-233424D	5200000110	11	PC	0	USD	KI
C520	2018	12	C521	C521	14-233424E	5200000110	11	PC	0	USD	KI
C520	2018	12	C521	C521	14-233425A	5200000110	10	PC	0	USD	KI
C520	2018	12	C521	C521	14-233425B	5200000110	11	PC	0	USD	KI
C520	2018	12	C521	C521	14-233425C	5200000110	11	PC	0	USD	KI
C520	2018	12	C521	C521	14-233449	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	14-233463	5200000110	3	PC	0	USD	KI
C520	2018	12	C521	C521	14-233488	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	14-233489	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	14-233498	5200000110	3	PC	0	USD	KI
C520	2018	12	C521	C521	14-233501A	5200000110	3	PC	0	USD	KI
C520	2018	12	C521	C521	14-237347	5200000110	80	PC	0	USD	KI
C520	2018	12	C521	C521	14-237861	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	14-237862	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	14-238129	5200000110	361	PC	0	USD	KI
C520	2018	12	C521	C521	14-238309	5200000110	10	PC	0	USD	KI
C520	2018	12	C521	C521	14-238361	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	14-238367	5200000110	30	PC	0	USD	KI
C520	2018	12	C521	C521	14-238496	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	14-238518	5200000110	21	PC	0	USD	KI
C520	2018	12	C521	C521	14-238521	5200000110	8	PC	0	USD	KI
C520	2018	12	C521	C521	14-238533B	5200000110	5	PC	0	USD	KI
C520	2018	12	C521	C521	14-238576	5200000110	2	PC	0	USD	KI
C520	2018	12	C521	C521	14-238593A	5200000110	1	PC	0	USD	KI
C520	2018	12	C521	C521	14-238596	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	14-238597	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	14-238613	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	14-238625	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	14-238676	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	14-238677	5200000110	1	PC	0	USD	KI
C520	2018	12	C521	C521	14-238684	5200000110	2	PC	0	USD	KI
C520	2018	12	C521	C521	14-238687A	5200000110	-1	PC	0	USD	KI
C520	2018	12	C521	C521	14-238688	5200000110	283	PC	0	USD	KI
C520	2018	12	C521	C521	14-238689	5200000110	14	PC	0	USD	KI
C520	2018	12	C521	C521	14-238694	5200000110	11	PC	0	USD	KI
C520	2018	12	C521	C521	14-238700	5200000110	2	PC	0	USD	KI
C520	2018	12	C521	C521	14-238701	5200000110	50	PC	0	USD	KI
C520	2018	12	C521	C521	14-238703	5200000110	3	PC	0	USD	KI
C520	2018	12	C521	C521	14-238719	5200000110	0	PC	0	USD	KI
C520	2018	12	C521	C521	14-238728A	5200000110	6	PC	0	USD	KI
C520	2018	12	C521	C521	14-238730	5200000110	20	PC	0	USD	KI
C520	2018	12	C521	C521	14-238744	5200000110	14	PC	0	USD	KI
C520	2018	12	C521	C521	14-238771	5200000110	18	PC	0	USD	KI
C520	2018	12	C521	C521	14-238772A	5200000110	6	PC	0	USD	KI
C520	2018	12	C521	C521	14-238772B	5200000110	12	PC	0	USD	KI
C520	2018	12	C521	C521	14-238773	5200000110	35	PC	0	USD	KI
C520	2018	12	C521	C521	14-238794	5200000110	1	PC	0	USD	KI
C520	2018	12	C521	C521	14-238797a	5200000110	1	PC	0	USD	KI
C520	2018	12	C521	C521	14-238797h	5200000110	4	PC	0	USD	KI
C520	2018	12	C521	C521	14-238798	5200000110	15	PC	0	USD	KI
C520	2018	12	C521	C521	14-238825	5200000110	2	PC	0	USD	KI
